Page,Link,"Status Code",Type
http://www.zappos.com/shoes,/girls-shoes,200,AOK
http://www.zappos.com/shoes,/boat-shoes,200,AOK
http://www.zappos.com/shoes,/flats,200,AOK
http://www.zappos.com/shoes,/walking-shoes,200,AOK
http://www.zappos.com/shoes,/flip-flops,200,AOK
http://www.zappos.com/shoes,/wedges,200,AOK
http://www.zappos.com/shoes,/athletic-shoes,200,AOK
http://www.zappos.com/shoes,/dress-shoes,200,AOK
http://www.zappos.com/shoes,/boots~2,200,AOK
http://www.zappos.com/shoes,/born,200,AOK
http://www.zappos.com/shoes,/clarks,200,AOK
http://www.zappos.com/shoes,/dansko,200,AOK
http://www.zappos.com/shoes,/dansko-shoes~9,200,AOK
http://www.zappos.com/shoes,/donald-j-pliner-shoes~1,200,AOK
http://www.zappos.com/shoes,/frye-boots~b,200,AOK
http://www.zappos.com/shoes,/heelys,200,AOK
http://www.zappos.com/shoes,/keen-shoes~4,200,AOK
http://www.zappos.com/shoes,/leather-shoes~1,200,AOK
http://www.zappos.com/shoes,/mbt,200,AOK
http://www.zappos.com/shoes,/mens-shoes~3x,200,AOK
http://www.zappos.com/shoes,/new-balance,200,AOK
http://www.zappos.com/shoes,/nike,200,AOK
http://www.zappos.com/shoes,/nike-shoes~a,200,AOK
http://www.zappos.com/shoes,/sandals~2,200,AOK
http://www.zappos.com/shoes,/shoes,200,AOK
http://www.zappos.com/shoes,/stuart-weitzman,200,AOK
http://www.zappos.com/shoes,/ugg-boots~7,200,AOK
http://www.zappos.com/shoes,/uggs,200,AOK
http://www.zappos.com/shoes,/womens-boots~1I,200,AOK
http://www.zappos.com/shoes,/womens-shoes~4c,200,AOK
http://www.zappos.com/mens-shoes,/mens-shoes~ov,200,AOK
http://www.zappos.com/mens-shoes,/mens-sneakers-athletic-shoes~dA,200,AOK
http://www.zappos.com/mens-shoes,/mens-boots~60,200,AOK
http://www.zappos.com/mens-shoes,/mens-loafers~3t,200,AOK
http://www.zappos.com/mens-shoes,/mens-oxfords-shoes~36,200,AOK
http://www.zappos.com/mens-shoes,/mens-sandals~3k,200,AOK
http://www.zappos.com/mens-shoes,/mens-boat-shoes~19,200,AOK
http://www.zappos.com/mens-shoes,/mens-clogs-mules~k,200,AOK
http://www.zappos.com/mens-shoes,/mens-slippers~V,200,AOK
http://www.zappos.com/mens-shoes,/mens-insoles-accessories-shoes~1,200,AOK
http://www.zappos.com/mens-shoes,/mens-shoes~ov,200,AOK
http://www.zappos.com/mens-shoes,/mens-shoes~ov,200,AOK
http://www.zappos.com/mens-shoes,/mens-running-sneakers-athletic-shoes~2V,200,AOK
http://www.zappos.com/mens-shoes,/mens-hiking-shoes~o,200,AOK
http://www.zappos.com/mens-shoes,/mens-flip-flops-sandals~2,200,AOK
http://www.zappos.com/mens-shoes,/mens-dress-shoes~3t,200,AOK
http://www.zappos.com/mens-shoes,/mens-cowboy-boots~q,200,AOK
http://www.zappos.com/mens-shoes,/mens-trail-running-sneakers-athletic-shoes~t,200,AOK
http://www.zappos.com/mens-shoes,/mens-designer-shoes~4,200,AOK
http://www.zappos.com/mens-shoes,/mens-chukka-boots~a,200,AOK
http://www.zappos.com/mens-shoes,/mens-80s-retro-70s-shoes~1,200,AOK
http://www.zappos.com/mens-shoes,/mens-skate-sneakers-athletic-shoes~39,200,AOK
http://www.zappos.com/mens-shoes,/mens-shoes~ov,200,AOK
http://www.zappos.com/mens-shoes,/wide-shoes,200,AOK
http://www.zappos.com/mens-shoes,/narrow-shoes,200,AOK
http://www.zappos.com/mens-shoes,/diabetic-approved-a5500-shoes~a,200,AOK
http://www.zappos.com/mens-shoes,/orthotic-friendly-shoes~m,200,AOK
http://www.zappos.com/mens-shoes,/eco-friendly-shoes~k,200,AOK
http://www.zappos.com/mens-shoes,/vegan-shoes~e,200,AOK
http://www.zappos.com/mens-shoes,/diesel-nicy-11~2,200,AOK
http://www.zappos.com/mens-shoes,/new-mens-shoes~1a,200,AOK
http://www.zappos.com/mens-shoes,/d/mens-shoes#previous,200,AOK
http://www.zappos.com/mens-shoes,/d/mens-shoes#next,200,AOK
http://www.zappos.com/mens-shoes,/mens-dress-shoes~2,200,AOK
http://www.zappos.com/mens-shoes,/search/Shoes/filter/hide%3AproductTypeFacet/%22Shoes%22/gender/%22Mens%22/personalityFacet/%22Casual%22//sort/goLiveDate/desc,200,AOK
http://www.zappos.com/mens-shoes,/mens-athletic-shoes~2,200,AOK
http://www.zappos.com/mens-shoes,/search/shoes/filter/productTypeFacet/%22Shoes%22/gender/%22Mens%22/personalityFacet/%22Office%20%26%20Career%22/sort/isNew/desc/productPopularity/asc/,200,AOK
http://www.zappos.com/mens-shoes,/mens-hiking-shoes~o,200,AOK
http://www.zappos.com/mens-shoes,/search/null/filter/zc1/%22Shoes%22/txAttrFacet_Gender/%22Men%22/txAttrFacet_Performance/%22Hiking%22/zc2/%22Sneakers%20%26%20Athletic+Shoes%22/sort/goliveRecentSalesStyle/desc,200,AOK
http://www.zappos.com/mens-shoes,/search/null/filter/zc1/%22Shoes%22/txAttrFacet_Gender/%22Men%22/txAttrFacet_Performance/%22Hiking%22/zc2/%22Boots%22/sort/goliveRecentSalesStyle/desc,200,AOK
http://www.zappos.com/mens-shoes,/search/null/filter/zc1/%22Shoes%22/txAttrFacet_Gender/%22Men%22/txAttrFacet_Performance/%22Hiking%22/zc2/%22Sandals%22/sort/goliveRecentSalesStyle/desc,200,AOK
